Date,Region,District/Council,Cement_Types,Price_Low,Price_High
2021-09-28,Tanga,Handeni DC,,
2021-09-28,Tanga,Handeni TC,,
2021-09-28,Tanga,Kilindi DC,,
2021-09-28,Tanga,Korogwe DC,,14000,
2021-09-28,Tanga,Korogwe TC,,13500,
2021-09-28,Tanga,Lushoto DC,,
2021-09-28,Tanga,Mkinga DC,,
2021-09-28,Tanga,Muheza DC,,
2021-09-28,Tanga,Pangani DC,,
2021-09-28,Tanga,Tanga CC,,
,,,,
,,,,
